"","neigborhood","ndvi_mean","temp_mean","median_inc","crime_percapita","crime_total","diversity_index","pct_black","pct_white","pct_latino","pct_homeowner","pct_single_parent","pop_density"
"206","Silver Lake",0.133381039,35.33189353,54339,14.9,49,0.676,0.03,0.34,0.42,0.36,0.16,"11,266"
"207","South Diamond Bar",0.151590964,35.14156847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"208","South El Monte",0.085860178,39.15056712,46912,16.7,35,0.248,0,0.05,0.86,0.5,0.17,"7,150"
"209","South Gate",0.10336274,37.96849794,48312,NA,NA,0.147,0.01,0.06,0.92,0.47,0.17,"12,945"
"210","South Park",0.083070708,39.18815924,29518,62.7,206,0.345,0.19,0.01,0.79,0.28,0.28,"21,638"
"211","South Pasadena",0.172275055,35.22576172,76229,NA,NA,0.651,0.03,0.5,0.16,0.44,0.13,"7,114"
"212","South San Gabriel",0.183185863,36.95603759,64827,11.1,9,0.59,0.01,0.08,0.48,0.67,0.16,"5,708"
"213","South San Jose Hills",0.126730394,39.41139393,65527,3.9,8,0.304,0.02,0.07,0.83,0.79,0.11,"13,646"
"214","South Whittier",0.141488727,37.5962185,64670,8.9,49,0.457,0.01,0.24,0.7,0.65,0.15,"10,291"
"215","Southeast Antelope Valley",0.126985124,39.85823329,70134,11.4,6,0.393,0.02,0.76,0.16,0.82,0.08,"27"
"216","Stevenson Ranch",0.202426635,37.9349645,122833,2.3,2,0.534,0.02,0.65,0.13,0.84,0.05,"2,765"
"217","Studio City",0.166859434,34.55154932,75657,24.7,92,0.378,0.04,0.78,0.09,0.44,0.11,"5,395"
"218","Sun Valley",0.087497289,39.78830009,51290,20.4,167,0.479,0.02,0.18,0.69,0.54,0.14,"8,048"
"219","Sun Village",0.109949928,44.62258284,56175,2.1,2,0.619,0.11,0.47,0.39,0.78,0.13,"917"
"220","Sunland",0.149619781,38.3713701,68720,18.8,31,0.526,0.02,0.65,0.22,0.69,0.1,"3,825"
"221","Sylmar",0.133810576,38.97222271,65783,17.7,141,0.466,0.04,0.21,0.7,0.71,0.15,"5,579"
"222","Tarzana",0.184999561,36.25394379,73195,18.5,70,0.471,0.04,0.71,0.15,0.59,0.12,"4,038"
"223","Temple City",0.134835299,38.38329461,65965,4.5,15,0.665,0.01,0.38,0.2,0.63,0.11,"8,366"
"224","Toluca Lake",0.198106125,35.23080334,73111,17.5,15,0.457,0.05,0.72,0.14,0.38,0.1,"6,393"
"225","Topanga",0.191547852,31.77360106,120319,2.7,2,0.227,0.01,0.88,0.05,0.76,0.06,"386"
